"ID"	"DAM"	"SIRE"	"SEX"	"COHORT"
"ELF_528"	"F0015"	"M0035"	"1"	"*"
"ELF_529"	"ELF_70"	"M0037"	"1"	"2003"
"ELF_53"	"ELF_36"	"M0021"	"1"	"1998"
"ELF_530"	"ELF_64"	"ELF_179"	"1"	"2009"
"ELF_531"	"ELF_383"	"ELF_150"	"1"	"2010"
"ELF_532"	"F0007"	"ELF_350"	"1"	"*"
"ELF_533"	"*"	"M0037"	"2"	"2003"
"ELF_534"	"ELF_357"	"ELF_269"	"2"	"2012"
"ELF_535"	"ELF_338"	"ELF_147"	"2"	"2012"
"ELF_536"	"ELF_135"	"M0028"	"1"	"*"
"ELF_537"	"F0006"	"M0052"	"2"	"*"
"ELF_538"	"ELF_32"	"ELF_142"	"2"	"2009"
"ELF_539"	"F0005"	"M0016"	"2"	"*"
"ELF_54"	"*"	"*"	"1"	"1998"
"ELF_540"	"ELF_357"	"ELF_45"	"2"	"2010"
"ELF_541"	"ELF_530"	"M0027"	"1"	"2013"
"ELF_542"	"ELF_530"	"M0027"	"1"	"2013"
"ELF_543"	"ELF_530"	"M0027"	"2"	"2013"
"ELF_544_P5"	"ELF_530"	"M0027"	"2"	"2013"
"ELF_545"	"ELF_530"	"M0027"	"1"	"2013"
"ELF_546"	"ELF_530"	"M0027"	"1"	"2013"
"ELF_547"	"ELF_530"	"M0027"	"1"	"2013"
"ELF_548"	"F0008"	"M0029"	"2"	"2012"
"ELF_549"	"ELF_175"	"ELF_84"	"1"	"2013"
"ELF_550"	"ELF_175"	"M0031"	"1"	"2013"
"ELF_551"	"ELF_175"	"ELF_84"	"1"	"2013"
"ELF_552"	"ELF_175"	"ELF_84"	"2"	"2013"
"ELF_553"	"ELF_175"	"ELF_84"	"1"	"2013"
"ELF_554"	"ELF_175"	"ELF_84"	"1"	"2013"
"ELF_555"	"ELF_175"	"ELF_84"	"2"	"2013"
"ELF_556"	"ELF_175"	"ELF_84"	"1"	"2013"
"ELF_557"	"ELF_175"	"ELF_84"	"2"	"2013"
"ELF_558"	"ELF_175"	"M0031"	"1"	"2013"
"ELF_559"	"ELF_175"	"M0031"	"1"	"2013"
"ELF_56"	"*"	"*"	"1"	"*"
"ELF_560"	"ELF_135"	"M0025"	"2"	"2013"
"ELF_561"	"ELF_135"	"M0025"	"2"	"2013"
"ELF_562"	"ELF_135"	"ELF_143"	"2"	"2013"
"ELF_563"	"ELF_135"	"M0025"	"2"	"2013"
"ELF_564"	"ELF_135"	"ELF_143"	"1"	"2013"
"ELF_565"	"ELF_135"	"ELF_143"	"1"	"2013"
"ELF_566"	"ELF_135"	"M0025"	"1"	"2013"
"ELF_567"	"ELF_135"	"ELF_143"	"2"	"2013"
"ELF_568"	"ELF_135"	"M0025"	"1"	"2013"
"ELF_569"	"ELF_135"	"ELF_143"	"2"	"2013"
"ELF_57"	"*"	"*"	"2"	"*"
"ELF_570"	"ELF_135"	"ELF_143"	"1"	"2013"
"ELF_571"	"ELF_135"	"ELF_143"	"2"	"2013"
"ELF_572"	"ELF_135"	"M0025"	"2"	"2013"
"ELF_573"	"ELF_135"	"ELF_143"	"2"	"2013"
"ELF_574"	"ELF_135"	"ELF_143"	"1"	"2013"
"ELF_575"	"ELF_135"	"ELF_143"	"2"	"2013"
"ELF_576"	"ELF_486"	"ELF_131"	"1"	"2013"
"ELF_577"	"ELF_486"	"ELF_131"	"1"	"2013"
"ELF_578"	"ELF_486"	"ELF_131"	"1"	"2013"
"ELF_579"	"ELF_486"	"ELF_131"	"2"	"2013"
"ELF_58"	"ELF_37"	"M0058"	"1"	"*"
"ELF_580"	"ELF_486"	"ELF_131"	"1"	"2013"
"ELF_581"	"ELF_486"	"ELF_131"	"1"	"2013"
"ELF_582"	"ELF_486"	"ELF_131"	"1"	"2013"
"ELF_583"	"ELF_486"	"ELF_131"	"2"	"2013"
"ELF_584"	"ELF_158"	"M0015"	"1"	"2013"
"ELF_585"	"ELF_158"	"M0015"	"1"	"2013"
"ELF_586"	"ELF_158"	"M0015"	"1"	"2013"
"ELF_587"	"ELF_158"	"M0015"	"2"	"2013"
"ELF_588"	"ELF_158"	"M0015"	"2"	"2013"
"ELF_589"	"ELF_158"	"M0015"	"1"	"2013"
"ELF_59"	"F0041"	"M0044"	"1"	"*"
"ELF_590"	"ELF_158"	"M0015"	"2"	"2013"
"ELF_594"	"ELF_183"	"M0001"	"1"	"2013"
"ELF_595"	"ELF_183"	"M0001"	"1"	"2013"
"ELF_596"	"ELF_183"	"M0001"	"1"	"2013"
"ELF_597"	"ELF_183"	"M0001"	"1"	"2013"
"ELF_598"	"ELF_183"	"M0001"	"1"	"2013"
"ELF_599"	"ELF_183"	"M0001"	"1"	"2013"
"ELF_60"	"ELF_152"	"M0059"	"2"	"*"
"ELF_600"	"ELF_270"	"M0026"	"2"	"2013"
"ELF_601"	"ELF_270"	"M0026"	"2"	"2013"
"ELF_602"	"ELF_270"	"M0026"	"1"	"2013"
"ELF_603"	"ELF_270"	"M0026"	"1"	"2013"
"ELF_604"	"ELF_270"	"M0026"	"2"	"2013"
"ELF_605"	"ELF_270"	"M0026"	"2"	"2013"
"ELF_607"	"ELF_326"	"M0002"	"2"	"2013"
"ELF_608"	"ELF_326"	"M0002"	"2"	"2013"
"ELF_609"	"ELF_326"	"M0002"	"1"	"2013"
"ELF_61"	"F0004"	"ELF_130"	"2"	"*"
"ELF_610"	"ELF_326"	"M0002"	"1"	"2013"
"ELF_611"	"ELF_326"	"M0002"	"1"	"2013"
"ELF_612"	"ELF_326"	"M0002"	"1"	"2013"
"ELF_613"	"F0028"	"M0030"	"2"	"2013"
"ELF_614"	"F0002"	"ELF_389"	"1"	"2013"
"ELF_615"	"F0002"	"ELF_389"	"1"	"2013"
"ELF_616"	"F0002"	"ELF_389"	"1"	"2013"
"ELF_617"	"F0002"	"ELF_389"	"1"	"2013"
"ELF_618"	"F0002"	"ELF_389"	"2"	"2013"
"ELF_619"	"F0002"	"ELF_389"	"1"	"2013"
"ELF_62"	"F0011"	"M0039"	"2"	"*"
"ELF_620"	"F0002"	"ELF_389"	"1"	"2013"
"ELF_621"	"ELF_324"	"ELF_350"	"2"	"2013"
"ELF_622"	"ELF_324"	"ELF_350"	"2"	"2013"
"ELF_623"	"ELF_125"	"M0006"	"1"	"2013"
"ELF_624"	"ELF_125"	"M0006"	"2"	"2013"
"ELF_625"	"ELF_125"	"M0006"	"2"	"2013"
"ELF_626"	"ELF_509"	"ELF_131"	"2"	"2013"
"ELF_627"	"ELF_125"	"M0006"	"2"	"2013"
"ELF_628"	"ELF_152"	"M0009"	"2"	"2012"
"ELF_63"	"F0040"	"*"	"1"	"*"
"ELF_630"	"ELF_338"	"ELF_147"	"1"	"2012"
"ELF_631"	"ELF_140"	"M0023"	"2"	"2013"
"ELF_632"	"*"	"ELF_153"	"1"	"2013"
"ELF_633"	"ELF_524"	"ELF_153"	"2"	"2013"
"ELF_634"	"ELF_284"	"ELF_337"	"1"	"2013"
"ELF_635"	"ELF_196"	"ELF_379"	"1"	"2013"
"ELF_636"	"ELF_527"	"ELF_370"	"2"	"2013"
"ELF_637"	"ELF_162"	"M0020"	"2"	"2013"
"ELF_638"	"ELF_162"	"ELF_365"	"2"	"2013"
"ELF_639"	"ELF_318"	"ELF_165"	"1"	"2012"
"ELF_64"	"ELF_70"	"M0045"	"1"	"1998"
"ELF_640"	"ELF_90"	"ELF_151"	"2"	"2013"
"ELF_641"	"ELF_529"	"ELF_276"	"2"	"2013"
"ELF_642"	"ELF_527"	"ELF_370"	"1"	"2013"
"ELF_643"	"ELF_162"	"M0020"	"2"	"2013"
"ELF_644"	"ELF_672"	"ELF_49"	"1"	"2013"
"ELF_645"	"ELF_88"	"M0031"	"2"	"2013"
"ELF_646"	"ELF_394"	"M0002"	"1"	"2013"
"ELF_647"	"ELF_284"	"ELF_337"	"1"	"2013"
"ELF_648"	"F0028"	"M0030"	"2"	"2013"
"ELF_649"	"ELF_78"	"ELF_142"	"1"	"2013"
"ELF_65"	"F0031"	"M0034"	"1"	"2005"
"ELF_650"	"ELF_284"	"ELF_337"	"2"	"2013"
"ELF_651"	"ELF_7"	"ELF_352"	"2"	"*"
"ELF_652"	"ELF_39"	"ELF_130"	"1"	"2009"
"ELF_653"	"ELF_152"	"M0013"	"2"	"2002"
"ELF_654"	"ELF_70"	"M0013"	"2"	"2011"
"ELF_655"	"F0028"	"M0030"	"2"	"2013"
"ELF_656"	"ELF_152"	"M0009"	"1"	"*"
