"ID"	"DAM"	"SIRE"	"SEX"	"COHORT"
"M0027"	"*"	"*"	"*"	"*"
"M0028"	"*"	"*"	"*"	"*"
"PCC_1"	"*"	"*"	"2"	"*"
"PCC_10"	"*"	"*"	"1"	"2004"
"PCC_100"	"PCC_10"	"M0005"	"2"	"*"
"PCC_101"	"PCC_140"	"PCC_161"	"1"	"2015"
"PCC_102"	"PCC_84"	"PCC_8"	"2"	"2015"
"PCC_103"	"PCC_10"	"M0003"	"2"	"2015"
"PCC_104"	"PCC_84"	"PCC_8"	"2"	"2015"
"PCC_105"	"*"	"*"	"1"	"*"
"PCC_106"	"*"	"*"	"1"	"*"
"PCC_107"	"F0009"	"M0017"	"1"	"2005"
"PCC_108"	"*"	"*"	"1"	"*"
"PCC_109"	"F0001"	"M0007"	"1"	"2005"
"PCC_11"	"PCC_27"	"M0028"	"2"	"2013"
"PCC_110"	"PCC_135"	"M0011"	"1"	"2015"
"PCC_111"	"PCC_105"	"PCC_78"	"2"	"2015"
"PCC_112"	"PCC_84"	"PCC_8"	"1"	"2015"
"PCC_113"	"PCC_106"	"M0006"	"1"	"2015"
"PCC_114"	"F0007"	"M0015"	"2"	"*"
"PCC_115"	"PCC_107"	"PCC_95"	"2"	"2012"
"PCC_116"	"F0001"	"M0007"	"2"	"2003"
"PCC_117"	"PCC_7"	"PCC_79"	"2"	"*"
"PCC_118"	"*"	"*"	"1"	"*"
"PCC_119"	"PCC_105"	"PCC_78"	"1"	"2015"
"PCC_12"	"*"	"*"	"2"	"*"
"PCC_120"	"PCC_209"	"PCC_81"	"1"	"2015"
"PCC_121"	"PCC_105"	"PCC_78"	"3"	"2015"
"PCC_122"	"F0017"	"M0027"	"1"	"*"
"PCC_123"	"PCC_31"	"PCC_76"	"2"	"2012"
"PCC_124"	"F0017"	"M0027"	"2"	"*"
"PCC_125"	"F0012"	"M0021"	"2"	"*"
"PCC_126"	"F0011"	"M0018"	"1"	"*"
"PCC_127"	"PCC_140"	"PCC_161"	"2"	"2015"
"PCC_128"	"PCC_27"	"PCC_224"	"3"	"2015"
"PCC_129"	"PCC_27"	"PCC_224"	"2"	"2015"
"PCC_130"	"PCC_126"	"PCC_8"	"1"	"2015"
"PCC_131"	"PCC_193"	"*"	"2"	"2015"
"PCC_132"	"F0012"	"M0024"	"1"	"2012"
"PCC_133"	"PCC_39"	"M0003"	"2"	"*"
"PCC_134"	"*"	"*"	"2"	"*"
"PCC_135"	"F0015"	"M0025"	"1"	"2005"
"PCC_136"	"F0013"	"M0022"	"1"	"*"
"PCC_137"	"PCC_135"	"M0011"	"1"	"2015"
"PCC_138"	"PCC_140"	"PCC_161"	"1"	"2015"
"PCC_139"	"PCC_140"	"PCC_161"	"2"	"2015"
"PCC_14"	"*"	"PCC_155"	"2"	"2013"
"PCC_140"	"F0010"	"PCC_76"	"1"	"*"
"PCC_142"	"*"	"*"	"2"	"*"
"PCC_143"	"*"	"*"	"1"	"*"
"PCC_144"	"PCC_135"	"PCC_95"	"1"	"2012"
"PCC_145"	"PCC_10"	"M0005"	"2"	"*"
"PCC_146"	"PCC_162"	"M0012"	"2"	"*"
"PCC_147"	"*"	"*"	"1"	"*"
"PCC_148"	"PCC_153"	"*"	"2"	"2015"
"PCC_149"	"PCC_34"	"M0001"	"2"	"*"
"PCC_15"	"F0006"	"M0014"	"2"	"*"
"PCC_150"	"PCC_109"	"PCC_116"	"1"	"2012"
"PCC_151"	"*"	"*"	"1"	"2006"
"PCC_152"	"F0008"	"PCC_76"	"1"	"*"
"PCC_153"	"F0008"	"PCC_76"	"1"	"*"
"PCC_154"	"PCC_27"	"M0028"	"2"	"*"
"PCC_155"	"*"	"*"	"2"	"*"
"PCC_156"	"F0004"	"M0010"	"1"	"*"
"PCC_157"	"PCC_106"	"M0016"	"1"	"2004"
"PCC_158"	"F0010"	"PCC_85"	"2"	"2012"
"PCC_159"	"*"	"*"	"1"	"*"
"PCC_160"	"PCC_58"	"M0001"	"2"	"*"
"PCC_161"	"*"	"*"	"2"	"*"
"PCC_162"	"*"	"*"	"1"	"2003"
"PCC_163"	"PCC_30"	"PCC_24"	"1"	"2006"
"PCC_164"	"F0010"	"PCC_85"	"1"	"*"
"PCC_165"	"PCC_39"	"M0002"	"1"	"*"
"PCC_166"	"*"	"*"	"2"	"*"
"PCC_167"	"PCC_162"	"M0012"	"2"	"2012"
"PCC_168"	"F0008"	"M0019"	"1"	"*"
"PCC_169"	"F0012"	"PCC_155"	"1"	"*"
"PCC_170"	"*"	"*"	"1"	"*"
"PCC_171"	"F0004"	"M0010"	"1"	"*"
"PCC_172"	"PCC_7"	"PCC_79"	"2"	"*"
"PCC_173"	"PCC_39"	"M0002"	"1"	"2011"
"PCC_174"	"*"	"*"	"1"	"*"
"PCC_175"	"PCC_151"	"PCC_9"	"2"	"2016"
"PCC_176"	"PCC_106"	"M0016"	"2"	"*"
"PCC_178"	"PCC_58"	"M0001"	"2"	"*"
"PCC_179"	"*"	"*"	"1"	"*"
"PCC_18"	"*"	"*"	"1"	"*"
"PCC_180"	"*"	"*"	"1"	"*"
"PCC_181"	"*"	"*"	"2"	"*"
"PCC_182"	"*"	"*"	"1"	"*"
"PCC_183"	"PCC_162"	"M0012"	"1"	"*"
"PCC_184"	"F0014"	"M0023"	"1"	"*"
"PCC_185"	"PCC_88"	"M0004"	"1"	"2016"
"PCC_186"	"F0014"	"M0023"	"2"	"*"
"PCC_187"	"*"	"*"	"1"	"2005"
"PCC_188"	"*"	"*"	"1"	"*"
"PCC_189"	"PCC_34"	"PCC_23"	"2"	"2016"
"PCC_19"	"F0005"	"PCC_24"	"1"	"*"
"PCC_191"	"F0012"	"M0024"	"1"	"2016"
"PCC_192"	"PCC_171"	"PCC_65"	"2"	"2016"
"PCC_193"	"F0015"	"M0016"	"1"	"*"
"PCC_194"	"PCC_107"	"PCC_95"	"2"	"2005"
"PCC_196"	"PCC_182"	"M0012"	"1"	"*"
"PCC_197"	"*"	"*"	"2"	"*"
